,City,Temperature °F,Humidity,Cloudiness,Wind Speed,Latitude,Longitude,Country,Date
0,Martyush,44.69,90,33,7.0,56.4,61.88,RU,1601261899
1,La Ronge,48.2,66,90,9.17,55.1,-105.28,CA,1601261900
2,Laguna,86.0,30,1,6.35,38.42,-121.42,US,1601261900
3,Arrondissement d'Ajaccio,53.6,87,100,3.36,42.0,8.92,FR,1601262278
4,Srednekolymsk,53.98,41,31,9.37,67.45,153.68,RU,1601261901
5,Saint Paul Harbor,48.2,81,90,12.75,57.79,-152.41,US,1601261901
6,Saldanha,39.2,80,0,1.12,-33.01,17.94,ZA,1601261901
7,West Bay,84.0,80,27,11.36,19.37,-81.42,KY,1601262278
8,Albany,72.0,96,10,5.01,42.6,-73.97,US,1601262008
9,George Town,84.2,66,20,5.82,5.41,100.34,MY,1601262279
10,Utevka,50.25,70,96,1.92,52.9,50.95,RU,1601261902
11,Punta Arenas,46.0,70,40,31.09,-53.15,-70.92,CL,1601262116
12,Berlevåg,43.56,81,99,18.66,70.86,29.09,NO,1601262279
13,Carnarvon,71.6,56,75,17.22,-24.87,113.63,AU,1601262280
14,Port Alfred,51.78,71,1,7.58,-33.59,26.89,ZA,1601262280
15,Bredasdorp,44.6,87,0,4.7,-34.53,20.04,ZA,1601261904
16,Kapaa,84.2,66,40,11.41,22.08,-159.32,US,1601261702
17,Pingxiang,66.61,90,100,2.64,27.62,113.85,CN,1601261904
18,Cerinza,51.24,83,99,3.02,5.96,-72.95,CO,1601261904
19,Gerāsh,76.73,35,0,3.09,27.67,54.14,IR,1601261905
20,Kathmandu,69.8,94,40,2.24,27.72,85.32,NP,1601261853
21,Rikitea,74.57,78,0,10.45,-23.12,-134.97,PF,1601261905
22,Bandarbeyla,76.3,79,57,17.54,9.49,50.81,SO,1601261906
23,Kysyl-Syr,42.08,73,21,7.47,63.9,122.76,RU,1601261906
24,Kaitangata,37.0,68,99,17.0,-46.28,169.85,NZ,1601261906
25,Hermanus,37.99,94,0,5.93,-34.42,19.23,ZA,1601261907
26,Codajás,73.85,92,45,1.59,-3.84,-62.06,BR,1601261907
27,Mataura,37.99,80,100,18.99,-46.19,168.86,NZ,1601261907
28,Saskylakh,34.47,93,100,23.47,71.92,114.08,RU,1601261907
29,Ushibukamachi,73.15,61,91,7.45,32.19,130.02,JP,1601261908
30,Atuona,78.28,74,3,14.97,-9.8,-139.03,PF,1601261908
31,Leningradskiy,33.93,86,66,8.97,69.38,178.42,RU,1601261908
32,Iskateley,35.71,85,84,3.29,67.68,53.15,RU,1601261909
33,Nardaran,68.0,49,42,11.41,40.56,50.01,AZ,1601261909
34,Nelson Bay,66.0,48,20,12.75,-32.72,152.15,AU,1601261909
35,Alofi,78.8,78,75,19.46,-19.06,-169.92,NU,1601261910
36,Chokurdakh,45.21,74,89,4.52,70.63,147.92,RU,1601261910
37,Mehamn,41.04,82,65,10.22,71.04,27.85,NO,1601261910
38,Baft,61.7,32,0,2.48,29.23,56.61,IR,1601261910
39,Paysandu,55.99,85,33,5.99,-32.32,-58.08,UY,1601261911
40,Sitka,55.4,76,90,24.16,57.05,-135.33,US,1601261911
41,Lebu,48.52,88,58,11.88,-37.62,-73.65,CL,1601261911
42,Hokitika,47.7,62,100,31.32,-42.72,170.97,NZ,1601261912
43,Cairns,86.0,51,75,16.11,-16.92,145.77,AU,1601261634
44,Hobart,57.2,58,40,13.87,-42.88,147.33,AU,1601261913
45,Raudeberg,55.99,85,99,9.82,61.99,5.14,NO,1601261913
46,Pontianak,75.47,90,100,4.83,-0.03,109.33,ID,1601261914
47,East London,54.0,65,1,4.43,-33.02,27.91,ZA,1601261914
48,Boyle,66.2,93,1,3.36,37.63,-84.87,US,1601261914
49,Dikson,36.55,80,100,27.85,73.51,80.55,RU,1601261915
50,Dom Pedrito,53.98,89,4,7.18,-30.98,-54.67,BR,1601261916
51,Cape Town,41.0,86,20,2.24,-33.93,18.42,ZA,1601261621
52,Hilo,82.4,65,40,9.17,19.73,-155.09,US,1601261916
53,Husavik,41.0,100,90,4.36,66.04,-17.34,IS,1601261916
54,Puerto Ayora,68.0,86,96,5.99,-0.74,-90.35,EC,1601261917
55,Kościerzyna,51.01,87,90,9.17,54.12,17.98,PL,1601261917
56,Leh,43.86,52,0,4.25,34.17,77.58,IN,1601261893
57,Gladstone,77.0,44,75,14.99,-23.85,151.25,AU,1601261772
58,Saint-Augustin,52.48,93,100,9.19,51.23,-58.65,CA,1601261918
59,Mogwase,52.18,35,0,4.65,-25.18,27.27,ZA,1601261918
60,Kovernino,45.0,76,76,5.44,57.13,43.81,RU,1601261918
61,Provideniya,39.2,60,75,17.9,64.38,-173.3,RU,1601261918
62,Igarka,35.82,81,92,25.41,67.47,86.58,RU,1601261919
